Account,Name,Position
TBL,Zach Bogosian,D
TBL,Erik Cernak,D
TBL,Anthony Cirelli,F
TBL,Braydon Coburn,D
TBL,Blake Coleman,F
TBL,Barclay Goodrow,F
TBL,Yanni Gourde,F
TBL,Victor Hedman,D
TBL,Tyler Johnson,F
TBL,Mathieu Joseph,F
TBL,Alex Killorn,F
TBL,Nikita Kucherov,F
TBL,Pat Maroon,F
TBL,Ryan McDonagh,D
TBL,Curtis McElhinney,G
TBL,Ondrej Palat,F
TBL,Cedric Paquette,F
TBL,Brayden Point,F
TBL,Jan Rutta,D
TBL,Luke Schenn,D
TBL,Mikhail Sergachev,D
TBL,Kevin Shattenkirk,D
TBL,Steven Stamkos,F
TBL,Mitchell Stephens,F
TBL,Andrei Vasilevskiy,G
TBL,Carter Verhaeghe,F
TBL,Alexander Volkov,F
TBL,Scott Wedgewood,G
