Account,Name,Position
Pittsburgh Penguins,Anthony Angello,F
Pittsburgh Penguins,Zachary Aston-Reese,F
Pittsburgh Penguins,Nick Bjugstad,F
Pittsburgh Penguins,Teddy Blueger,F
Pittsburgh Penguins,Sidney Crosby,F
Pittsburgh Penguins,Brian Dumoulin,D
Pittsburgh Penguins,Patric Hornqvist,F
Pittsburgh Penguins,Tristan Jarry,G
Pittsburgh Penguins,Jack Johnson,D
Pittsburgh Penguins,Sam Lafferty,F
Pittsburgh Penguins,Kris Letang,D
Pittsburgh Penguins,Evgeni Malkin,F
Pittsburgh Penguins,John Marino,D
Pittsburgh Penguins,Patrick Marleau,F
Pittsburgh Penguins,Jared McCann,F
Pittsburgh Penguins,Matt Murray,G
Pittsburgh Penguins,Marcus Pettersson,D
Pittsburgh Penguins,Juuso Riikola,D
Pittsburgh Penguins,Evan Rodrigues,F
Pittsburgh Penguins,Chad Ruhwedel,D
Pittsburgh Penguins,Bryan Rust,F
Pittsburgh Penguins,Justin Schultz,D
Pittsburgh Penguins,Conor Sheary,F
Pittsburgh Penguins,Dominik Simon,F
Pittsburgh Penguins,Brandon Tanev,F
Pittsburgh Penguins,Jason Zucker,F
